index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	तीक्ष्णैः		तीक्ष्णैः	तीक्ष्ण{पुं;3;बहु}/तीक्ष्ण{नपुं;3;बहु}	तीक्ष्ण{पुं;3;बहु}	विशेषणम्,2.3	सुप्_समुच्चितः,3.2#करणम्,7.1#हेतुः,7.1#हेतुः,6.2#विशेषणम्,2.3	N3	तेज_से	तेज_से
2.1	वमन-		वमन-नस्य-आद्यैः	वमन	वमन	इतरेतर-द्वन्द्वः,2.2	इतरेतर-द्वन्द्वः,2.2	CP		
2.2	नस्य-		--	नस्य	नस्य	बहुव्रीहिः,2.3	बहुव्रीहिः,2.3	CP		
2.3	आद्यैः		--	आद्य{पुं;3;बहु}/आद्य{नपुं;3;बहु}	आद्य{पुं;3;बहु}	समुच्चितः,6.3	विशेषणम्,6.3#विशेषणम्,3.2#सुप्_समुच्चितः,3.2#करणम्,7.1#हेतुः,7.1#हेतुः,6.2#सुप्_समुच्चितः,6.3	N3	प्रथमों_से	प्रथमों_से
3.1	लघु-		लघु-रूक्षैः	लघु	लघु	कर्मधारयः,3.2	कर्मधारयः,3.2	CP	लघु-	लघु-
3.2	रूक्षैः		--	रूक्ष{पुं;3;बहु}/रूक्ष{नपुं;3;बहु}	रूक्ष{पुं;3;बहु}	विशेषणम्,5.1	विशेषणम्,6.3#करणम्,7.1#हेतुः,7.1#हेतुः,6.2#विशेषणम्,5.1	N3	कठोरों_से	कठोरों_से
4.1	च		च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,6.3	सुप्_समुच्चय_द्योतकः,3.2#सम्बन्धः,3.2#सुप्_समुच्चय_द्योतकः,6.3	NA	और	और
5.1	भोजनैः		भौजनैः	भोजन{नपुं;3;बहु}	भोजन{नपुं;3;बहु}	समुच्चितः,6.3	सुप्_समुच्चितः,6.3#सुप्_समुच्चितः,3.2	N3		
6.1	व्यायाम-		व्यायाम-उद्वर्तन-आघातैः	व्यायाम	व्यायाम	इतरेतर-द्वन्द्वः,6.3	इतरेतर-द्वन्द्वः,6.3	CP	व्यायाम-	व्यायाम-
6.2	उद्वर्तन-		--	उद्वर्तन(उत्_वृत्1;ल्युट्;भ्वादिः)	उद्वर्तन(उत्_वृत्1;ल्युट्;भ्वादिः)	इतरेतर-द्वन्द्वः,6.3	इतरेतर-द्वन्द्वः,6.3	CP		
6.3	आघातैः		--	आघात{पुं;3;बहु}/आघात{नपुं;3;बहु}	आघात{पुं;3;बहु}	हेतुः,7.1	करणम्,7.1#हेतुः,7.1	N3	प्रहार_करनों_से	प्रहार_करनों_से
7.1	जित्वा		जित्वा	जि1{अव्य;क्त्वा;भ्वादिः}	जि1{अव्य;क्त्वा;भ्वादिः}	पूर्वकालः,10.1	पूर्वकालः,10.1	NA	जीत_कर	जीत_कर
8.1	श्लेष्माणम्		श्लेष्माणम्	श्लेष्मन्{पुं;2;एक}	श्लेष्मन्{पुं;2;एक}	कर्म,7.1	कर्म,7.1	N2	कफ_को	कफ_को
9.1	उल्बणम्		उल्बणम्	उल्बण{पुं;2;एक}/उल्बण{नपुं;1;एक}/उल्बण{नपुं;2;एक}	उल्बण{नपुं;2;एक}	विशेषणम्,8.1	विशेषणम्,8.1	N2	उल्बण	उल्बण
10.1	स्नातः		स्नातः	स्ना{अव्य;तसिल्}/ष्ना1{कर्तरि;लट्;प्र;द्वि;परस्मैपदी;अदादिः}/स्नात्{पुं;2;बहु(ष्ना1;शतृ_लट्;अदादिः)}/स्नात्{पुं;5;एक(ष्ना1;शतृ_लट्;अदादिः)}/स्नात्{पुं;6;एक(ष्ना1;शतृ_लट्;अदादिः)}/स्नात्{नपुं;5;एक(ष्ना1;शतृ_लट्;अदादिः)}/स्नात्{नपुं;6;एक(ष्ना1;शतृ_लट्;अदादिः)}/स्नात{पुं;1;एक(ष्ना1;क्त;अदादिः)}	स्नात{पुं;1;एक(ष्ना1;क्त;अदादिः)}	कर्ता,11.1	कर्ता,11.1	N1	स्नान_किया_हुआ	स्नान_किया_हुआ
11.1	अनुलिप्तः		अनुलिप्तः	अनुलिप्त{पुं;1;एक(अनु_लिप्1;क्त;तुदादिः)}	अनुलिप्त{पुं;1;एक(अनु_लिप्1;क्त;तुदादिः)}	विशेषणम्,13.7	विशेषणम्,13.7	N1	लगा_हुवा	लगा_हुवा
12.1	कर्पूर-		कर्पूर-चन्दन-अगुरु-कुङ्कुमैः	कर्पूर	कर्पूर	इतरेतर-द्वन्द्वः,12.4	इतरेतर-द्वन्द्वः,12.4	CP	कर्पूर-	कर्पूर-
12.2	चन्दन-		--	चन्दन(चद्2;ल्युट्;भ्वादिः)	चन्दन(चद्2;ल्युट्;भ्वादिः)	इतरेतर-द्वन्द्वः,12.4	इतरेतर-द्वन्द्वः,12.4	CP		
12.3	अगुरु-		--	अगुरु	अगुरु	इतरेतर-द्वन्द्वः,12.4	इतरेतर-द्वन्द्वः,12.4	CP	अगुरु-	अगुरु-
12.4	कुङ्कुमैः		--	कुङ्कुम{नपुं;3;बहु}/कुङ्कुम{पुं;3;बहु}	कुङ्कुम{नपुं;3;बहु}	करणम्,11.1	करणम्,11.1	N3	कुङ्कुमों_से	कुङ्कुमों_से
13.1	पुराण-		पुराण-यव-गोधूम-क्षौद्र-जाङ्गल-शूल्य-भुक्	पुराण	पुराण	कर्मधारयः,13.3	कर्मधारयः,13.3	CP	पुराण-	पुराण-
13.2	यव-		--	यव	यव	समाहार-द्वन्द्वः,13.3	समाहार-द्वन्द्वः,13.3	CP	यव-	यव-
13.3	गोधूम-		--	गोधूम	गोधूम	इतरेतर-द्वन्द्वः,13.6	इतरेतर-द्वन्द्वः,13.6	CP	गोधूम-	गोधूम-
13.4	क्षौद्र-		--	क्षौद्र	क्षौद्र	इतरेतर-द्वन्द्वः,13.6	इतरेतर-द्वन्द्वः,13.6	CP	क्षौद्र-	क्षौद्र-
13.5	जाङ्गल-		--	जाङ्गल	जाङ्गल	इतरेतर-द्वन्द्वः,13.6	इतरेतर-द्वन्द्वः,13.6	CP	जाङ्गल-	जाङ्गल-
13.6	शूल्य-		--	शूल्य	शूल्य	उपपद-तत्पुरुषः,13.7	उपपद-तत्पुरुषः,13.7	CP	शूल्य-	शूल्य-
13.7	भुक्		--	भुज्{पुं;1;एक}/भुज्{नपुं;1;एक}/भुज्{नपुं;2;एक}/भुज्{स्त्री;1;एक}/भुज्{पुं;8;एक}/भुज्{नपुं;8;एक}/भुज्{स्त्री;8;एक}	भुज्{पुं;1;एक}	कर्ता,24.1	कर्ता,24.1	N1	-	-
14.1	सहकार-		सहकार-रस-उन्मिश्रान्	सहकार	सहकार	षष्ठी-तत्पुरुषः,14.2	षष्ठी-तत्पुरुषः,14.2	CP	सहकार-	सहकार-
14.2	रस-		--	रस	रस	तृतीया-तत्पुरुषः,14.3	तृतीया-तत्पुरुषः,14.3	CP	रस-	रस-
14.3	उन्मिश्रान्		--	उन्मिश्र{पुं;2;बहु}	उन्मिश्र{पुं;2;बहु}	विशेषणम्,26.5	विशेषणम्,17.1#विशेषणम्,18.3#विशेषणम्,26.5	N2		
15.1	आस्वाद्य		आस्वाद्य	आस्वाद्य{अव्य;ल्यप्}	आस्वाद्य{अव्य;ल्यप्}	पूर्वकालः,17.1	पूर्वकालः,17.1	NA		
16.1	प्रियया		प्रियया	प्रिया{स्त्री;3;एक}	प्रिया{स्त्री;3;एक}	कर्ता,17.1;कर्ता,15.1	कर्ता,17.1	N3	प्रिया_से	प्रिया_से
17.1	अर्पितान्		अर्पितान्	अर्पित{पुं;2;बहु(ऋ;णिच्;क्त;भ्वादिः)}/अर्पित{नपुं;2;बहु(ऋ;णिच्;क्त;भ्वादिः)}	अर्पित{पुं;2;बहु(ऋ;णिच्;क्त;भ्वादिः)}	विशेषणम्,26.5	विशेषणम्,26.5	N2		
18.1	प्रिया-		प्रिया-आस्य-सङ्ग-सुरभीन्	प्रिया	प्रिया	षष्ठी-तत्पुरुषः,18.2	षष्ठी-तत्पुरुषः,18.2	CP	प्रियास्य-	प्रियास्य-
18.2	आस्य-		--	आस्य	आस्य	तृतीया-तत्पुरुषः,18.3	तृतीया-तत्पुरुषः,18.3	CP		
18.3	सङ्ग-		--	सङ्ग	सङ्ग	तृतीया-तत्पुरुषः,18.4	तृतीया-तत्पुरुषः,18.4	CP	सङ्ग-	सङ्ग-
18.4	सुरभीन्		--	सुरभि{पुं;2;बहु}	सुरभि{पुं;2;बहु}	विशेषणम्,26.5	विशेषणम्,17.1#विशेषणम्,26.5	N2	सुगंध_को	सुगंध_को
19.1	प्रिया-		प्रिया-नेत्र-उत्पल-अङ्कितान्	प्रिया	प्रिया	षष्ठी-तत्पुरुषः,19.2	षष्ठी-तत्पुरुषः,19.2	CP	प्रिया-	प्रिया-
19.2	नेत्र-		--	नेत्र	नेत्र	कर्मधारयः,19.3	कर्मधारयः,19.3	CP	नेत्र-	नेत्र-
19.3	उत्पल-		--	उत्पल	उत्पल	तृतीया-तत्पुरुषः,19.4	तृतीया-तत्पुरुषः,19.4	CP	-	-
19.4	अङ्कितान्		--	अङ्कित{पुं;2;बहु(अङ्क1;क्त;चुरादिः)}	अङ्कित{पुं;2;बहु(अङ्क1;क्त;चुरादिः)}	विशेषणम्,26.5	विशेषणम्,17.1#विशेषणम्,26.5	N2		
20.1	सौमनस्य-		सौमनस्य-कृतः	सौमनस्य	सौमनस्य	उपपद-तत्पुरुषः,20.2	उपपद-तत्पुरुषः,20.2	CP		
20.2	कृतः		--	कृत्{पुं;8;बहु}/कृत{पुं;1;एक(कृ2;क्त;स्वादिः)}/कृत{पुं;1;एक(कृ3;क्त;तनादिः)}	कृत{पुं;1;एक(कृ2;क्त;स्वादिः)}	?	विशेषणम्,23.1#कर्ता,24.1	N1	निर्मित	निर्मित
21.1	हृद्यान्		हृद्यान्	हृद्य{पुं;2;बहु}	हृद्य{पुं;2;बहु}	विशेषणम्,26.5	विशेषणम्,26.5	N2	हृद्यों_को	हृद्यों_को
22.1	वयस्यैः		वयस्यैः	वयस्य{पुं;3;बहु}/वयस्य{नपुं;3;बहु}	वयस्य{पुं;3;बहु}	सहार्थः,24.1	सहार्थः,24.1#करणम्,24.1#हेतुः,24.1	N3	मित्रों_से	मित्रों_से
23.1	सहितः		सहितः	सहित{पुं;1;एक}/सहितृ{पुं;8;एक}/सहितृ{नपुं;8;एक}	सहित{पुं;1;एक}	सहार्थ_द्योतकः,22.1	सहार्थ_द्योतकः,22.1#सम्बन्ध_उप,24.1#कर्ता,24.1	N1	साथ	साथ
24.1	पिबेत्		पिबेत्	पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	पा1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	पिये	पिये
25.1	निर्-		निर्गदान्-आसव-अरिष्ट-सीधु-मार्द्वीक-माधवान्	निर्	निर्	प्रादि-बहुव्रीहिः,25.2	प्रादि-बहुव्रीहिः,25.2	CP		
25.2	गदान्		--	गद{पुं;2;बहु}	गद{पुं;2;बहु}	विशेषणम्,26.5	विशेषणम्,26.5	N2		
26.1	आसव-		--	आसव	आसव	इतरेतर-द्वन्द्वः,26.5	इतरेतर-द्वन्द्वः,26.5	CP	आसव-	आसव-
26.2	अरिष्ट-		--	अरिष्ट	अरिष्ट	इतरेतर-द्वन्द्वः,26.5	इतरेतर-द्वन्द्वः,26.5	CP	अरिष्ट-	अरिष्ट-
26.3	सीधु-		--	सीधु	सीधु	इतरेतर-द्वन्द्वः,26.5	इतरेतर-द्वन्द्वः,26.5	CP	सीधु-	सीधु-
26.4	मार्द्वीक-		--	मार्द्वीक	मार्द्वीक	इतरेतर-द्वन्द्वः,26.5	इतरेतर-द्वन्द्वः,26.5	CP	मार्द्वीक-	मार्द्वीक-
26.5	माधवान्		--	माधव{पुं;2;बहु}	माधव{पुं;2;बहु}	कर्म,24.1	कर्म,24.1	N2	माधवों_को	माधवों_को
27.1	.		.	-	-	-	-	FS	-	-
