index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	स्वादुम्	2.1	स्वादुम्	स्वादु{पुं;2;एक}/स्वादु{स्त्री;2;एक}	स्वादु{पुं;2;एक}	कर्म,3.1	कर्म,6.1#कर्म,3.1#विशेषणम्,14.1#विशेषणम्,10.1#विशेषणम्,8.1	N2	स्वादिष्ठ_को	स्वादिष्ठ_को
2.1	निदाघे	1.1	निदाघे	निदाघ{पुं;7;एक(नि_दह्1;घञ्;भ्वादिः)}	निदाघ{पुं;7;एक(नि_दह्1;घञ्;भ्वादिः)}	अधिकरणम्,3.1	विशेषणम्,4.1#अधिकरणम्,17.1#अधिकरणम्,14.1#अधिकरणम्,13.1#अधिकरणम्,9.1#अधिकरणम्,6.1#अधिकरणम्,3.1	N7		
3.1	(भजेत्)	3.1	(भजेत्)	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	भजे	भजे
4.1	शरदि	4.1	शरदि	शरद्{स्त्री;7;एक}	शरद्{स्त्री;7;एक}	अधिकरणम्,6.1	अधिकरणम्,17.1#अधिकरणम्,14.1#अधिकरणम्,13.1#अधिकरणम्,9.1#अधिकरणम्,6.1	N7	पतझड़_में	पतझड़_में
5.1	स्वादु-	5.1	स्वादु-तिक्त-कषायकान्	स्वादु	स्वादु	इतरेतर-द्वन्द्वः,5.3	इतरेतर-द्वन्द्वः,5.3	CP	स्वादु-	स्वादु-
5.2	तिक्त-	5.2	--	तिक्त	तिक्त	इतरेतर-द्वन्द्वः,5.3	इतरेतर-द्वन्द्वः,5.3	CP	तिक्त-	तिक्त-
5.3	कषायकान्	5.3	--	कषायक{पुं;2;बहु}	कषायक{पुं;2;बहु}	कर्म,6.1	कर्म,6.1	N2	-	-
6.1	(भजेत्)	6.1	(भजेत्)	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	भज्1{कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP	भजे	भजे
7.1	शरद्-	7.1	शरद्-वसन्तयोः	शरद्	शरद्	इतरेतर-द्वन्द्वः,7.2	इतरेतर-द्वन्द्वः,7.2	CP	शरद्-	शरद्-
