index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
1.1	कम्प-		कम्प-	कम्प-	कम्प-	इतरेतर-द्वन्द्वः,1.3	इतरेतर-द्वन्द्वः,1.3	CP	कम्प-	कम्प-
1.2	आक्षेप-		आक्षेप-	आक्षेप-	आक्षेप-	इतरेतर-द्वन्द्वः,1.3	इतरेतर-द्वन्द्वः,1.3	CP	आक्षेप-	आक्षेप-
1.3	हिध्मासु		हिध्मासु	हिध्मन्{पुं;7;बहु}	हिध्मन्{पुं;7;बहु}	अधिकरणम्,6.1	अधिकरणम्,6.1	N7	-	-
2.1	सामुग्दम्		सामुग्दम्	सामुद्ग{नपुं;1;एक}	सामुद्ग{नपुं;1;एक}	कर्म,6.1	कर्म,6.1	N1	-	-
3.1	लघु-		लघु-	लघु-	लघु-	उपपद-तत्पुरुषः,3.2	उपपद-तत्पुरुषः,3.2	CP	लघु-	लघु-
3.2	भोजिनाम्		भोजिनाम्	भोजिन्{पुं;6;बहु}	भोजिन्{पुं;6;बहु}	षष्ठीसम्बन्धः,1.3	षष्ठीसम्बन्धः,1.3	N6	-	-
4.1	ऊर्ध्व-		ऊर्ध्व-	ऊर्ध्व-	ऊर्ध्व-	बहुव्रीहिः,4.2	बहुव्रीहिः,4.2	CP	ऊर्ध्व-	ऊर्ध्व-
4.2	जत्रु-		जत्रु-	जत्रु-	जत्रु-	षष्ठी-तत्पुरुषः,4.3	षष्ठी-तत्पुरुषः,4.3	CP	जत्रु-	जत्रु-
4.3	विकारेषु		--	विकार{पुं;7;बहु}/विकार{पुं;7;बहु(वि_कॄ1;घञ्;तुदादिः)}/विकार{पुं;7;बहु(वि_कृ3;घञ्;तनादिः)}/विकार{पुं;7;बहु(वि_कृ2;घञ्;स्वादिः)}/विकार{नपुं;7;बहु}	विकार{पुं;7;बहु}	समुच्चितः,1.3	समुच्चितः,1.3	N7	दोषों_में	दोषों_में
5.1	स्वप्न-		स्वप्न-	स्वप्न-	स्वप्न-	षष्ठी-तत्पुरुषः,5.2	षष्ठी-तत्पुरुषः,5.2	CP	स्वप्न-	स्वप्न-
5.2	काले		--	काल{नपुं;1;द्वि}/काल{नपुं;2;द्वि}/काला{स्त्री;1;द्वि}/काला{स्त्री;2;द्वि}/काल{नपुं;8;द्वि}/काला{स्त्री;8;एक}/काला{स्त्री;8;द्वि}/काल{पुं;7;एक}/काल{नपुं;7;एक}/कालि{नपुं;8;एक}/कालि{नपुं;1;एक}/कालि{नपुं;2;एक}	काल{पुं;7;एक}	कालाधिकरणम्,6.1	कालाधिकरणम्,6.1	N7	समय	समय
6.1	प्रशस्यते		प्रशस्यते	प्र_शंसु{कर्मणि;लट्;प्र;एक;आत्मनेपद;भ्वादिः}	प्र_शंसु{कर्मणि;लट्;प्र;एक;आत्मनेपद;भ्वादिः}	अभिहित_कर्म,2.1	अभिहित_कर्म,2.1	KP	-	-
7.1	(च)		(च)	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,1.3	समुच्चय_द्योतकः,1.3	NA	-	-
										
