index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	मेह-	1.1	मेह-आमदोष-अतिस्निग्ध-ज्वर-ऊरुस्तम्भ-कुष्ठिनः	मेह-	मेह-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	मेह-	मेह-
1.2	आमदोष-	1.2	--	आमदोष-	आमदोष-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	आमदोष-	आमदोष-
1.3	अतिस्निग्ध-	1.3	--	अतिस्निग्ध-	अतिस्निग्ध-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	अतिस्निग्ध-	अतिस्निग्ध-
1.4	ज्वर-	1.4	--	ज्वर-	ज्वर-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	ज्वर-	ज्वर-
1.5	ऊरुस्तम्भ-	1.5	--	ऊरुस्तम्भ-	ऊरुस्तम्भ-	इतरेतर-द्वन्द्वः,1.6	इतरेतर-द्वन्द्वः,1.6	CP	ऊरुस्तम्भ-	ऊरुस्तम्भ-
1.6	कुष्ठिनः	1.6	कुष्ठिनः	कुष्ठिन्{पुं;1;बहु}/कुष्ठिन्{पुं;2;बहु}/कुष्ठिन्{पुं;5;एक}/कुष्ठिन्{पुं;6;एक}/कुष्ठिन्{पुं;8;बहु}	कुष्ठिन्{पुं;2;बहु}	समुच्चितः,3.1	कर्ता,2.1#कर्म,2.1#षष्ठीसम्बन्धः,2.1#हेतुः5,2.1#समुच्चितः,2.7#सुप्_समुच्चितः,3.1	N2	कोढी_का	कोढी_का
2.1	विसर्प-	2.1	विसर्प-विद्रधि-प्लीह-शिरः-कण्ठ--अक्षिरोगिणः	विसर्प(वि_सृप्1;घञ्;भ्वादिः)	विसर्प(वि_सृप्1;घञ्;भ्वादिः)	इतरेतर-द्वन्द्वः,2.7	इतरेतर-द्वन्द्वः,2.7	CP		
2.2	विद्रधि-	2.2	--	विद्रधि-	विद्रधि-	इतरेतर-द्वन्द्वः,2.7	इतरेतर-द्वन्द्वः,2.7	CP	विद्रधि-	विद्रधि-
2.3	प्लीह-	2.3	--	प्लीहन्-	प्लीहन्-	समाहार-द्वन्द्वः,2.6	समाहार-द्वन्द्वः,2.6	CP	प्लीह-	प्लीह-
2.4	शिरः-	2.4	--	शिरस्-	शिरस्-	समाहार-द्वन्द्वः,2.6	समाहार-द्वन्द्वः,2.6	CP	शिरः-	शिरः-
2.5	कण्ठ-	2.5	--	कण्ठ-	कण्ठ-	समाहार-द्वन्द्वः,2.6	समाहार-द्वन्द्वः,2.6	CP	कण्ठ-	कण्ठ-
2.6	अक्षि-	2.6	अक्षि-रोगिणः	अक्षि-	अक्षि-	षष्ठी-तत्पुरुषः,2.7	षष्ठी-तत्पुरुषः,2.7	CP	-	-
2.7	रोगिणः	2.7	--	रोगिन्{पुं;1;बहु}/रोगिन्{पुं;2;बहु}/रोगिन्{पुं;5;एक}/रोगिन्{पुं;6;एक}/रोगिन्{पुं;8;बहु}	रोगिन्{पुं;2;बहु}	समुच्चितः,3.1	सुप्_समुच्चितः,3.1	N2	-	-
3.1	स्थूलान्	3.1	स्थूलान्	स्थूल{पुं;2;बहु}	स्थूल{पुं;2;बहु}	कर्म,5.1	विशेषणम्,9.1#सुप्_समुच्चितः,9.1#कर्म,5.1	N2	विशाल	विशाल
4.1	च	4.1	च	च{अव्य}	च{अव्य}	समुच्चय_द्योतकः,3.1	सम्बन्धः,3.1#सुप्_समुच्चय_द्योतकः,3.1	NA	च1	च1
5.1	लङ्घयेत्	5.1	लङ्घयेत्	लघ्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}/लघ्2{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	लघ्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	-	-	KP		
6.1	नित्यम्	10.1	नित्यम्	नित्य{पुं;2;एक}/नित्य{नपुं;1;एक}/नित्य{नपुं;2;एक}/नित्यम्{अव्य}	नित्यम्{अव्य}	क्रियाविशेषणम्,11.1	सुप्_समुच्चितः,9.1#क्रियाविशेषणम्,5.1#क्रियाविशेषणम्,11.1	NA	नित्य	नित्य
7.1	शिशिरे	6.1	शिशिरे	शिशिर{पुं;7;एक}/शिशिर{नपुं;7;एक}	शिशिर{पुं;7;एक}	कालाधिकरणम्,11.1	कालाधिकरणम्,5.1#कालाधिकरणम्,11.1	N7	ठंढे_में	ठंढे_में
8.1	तु	7.1	तु	तु{अव्य}	तु{अव्य}	सम्बन्धः,7.1	सम्बन्धः,7.1	NA	तो	तो
9.1	अपरान्	8.1	अपरान्	अपर{पुं;2;बहु}/अपर{सर्वनाम;पुं;2;बहु}	अपर{पुं;2;बहु}	कर्म,11.1	कर्म,11.1	N2	दूसरों_को	दूसरों_को
10.1	अपि	9.1	अपि	अपि{अव्य}	अपि{अव्य}	समुच्चय_द्योतकः,11.1	सुप्_समुच्चय_द्योतकः,9.1#सम्बन्धः,9.1#समुच्चय_द्योतकः,11.1	NA	भी	भी
11.1	(लङ्घयेत्)	11.1	लङ्घयेत्	लघ्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}/लघ्2{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	लघ्1{णिच्;कर्तरि;विधिलिङ्;प्र;एक;परस्मैपदी;भ्वादिः}	समुच्चितः,5.1	समुच्चितः,5.1	KP		
12.1	.	12.1	.	-	-	-	-	FS	-	-
