index	word	poem	sandhied_word	morph_analysis	morph_in_context	kaaraka_sambandha	possible_relations	color_code	hindi_meaning	hindi_meaning_active
										
1.1	गुरु	2.1	गुरु	गुरु{नपुं;1;एक}/गुरु{नपुं;2;एक}	गुरु{नपुं;1;एक}	विशेषणम्,3.1	विशेषणम्,3.1#विशेषणम्,6.1#कर्म,7.1	N1		
2.1	च	3.1	च	च{अव्य}	च{अव्य}	सम्बन्धः,1.1	सम्बन्धः,1.1	NA	च1	च1
3.1	अतर्पणम्	4.1	अतर्पणम्	अतर्पण{नपुं;1;एक}	अतर्पण{नपुं;1;एक}	कर्ता,5.1	कर्ता,5.1	N1		
4.1	स्थूले	1.1	स्थूले	स्थूल{पुं;7;एक}/स्थूल{नपुं;7;एक}	स्थूल{पुं;7;एक}	अधिकरणम्,5.1	विशेषणम्,8.1#अधिकरणम्,7.1#अधिकरणम्,5.1	N7	विशाल_में	विशाल_में
5.1	(हितम्)	5.1	(हितम्)	हित{पुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{पुं;2;एक(हि1;क्त;स्वादिः)}/हित{नपुं;1;एक(हि1;क्त;स्वादिः)}/हित{नपुं;2;एक(हि1;क्त;स्वादिः)}	हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)}	-	-	N1	हित	हित
6.1	विपरीतम्	7.1	विपरीतम्	विपरीत{पुं;2;एक(वि_परि_इ1;क्त;अदादिः)}/विपरीत{नपुं;1;एक(वि_परि_इ1;क्त;अदादिः)}/विपरीत{नपुं;2;एक(वि_परि_इ1;क्त;अदादिः)}	विपरीत{नपुं;1;एक(वि_परि_इ1;क्त;अदादिः)}	कर्ता,7.1	विशेषणम्,7.1#कर्म,7.1#विधेय_विशेषणम्,1.1#कर्ता,7.1	N1	उलटा	उलटा
7.1	हितम्	8.1	हितम्	हित{पुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)}/हित{नपुं;2;एक(धा1;क्त;जुहोत्यादिः)}/हित{पुं;2;एक(हि1;क्त;स्वादिः)}/हित{नपुं;1;एक(हि1;क्त;स्वादिः)}/हित{नपुं;2;एक(हि1;क्त;स्वादिः)}	हित{नपुं;1;एक(धा1;क्त;जुहोत्यादिः)}	-	-	N1	हित	हित
8.1	कृशे	6.1	कृशे	कृश{पुं;7;एक}/कृश{नपुं;7;एक}	कृश{पुं;7;एक}	अधिकरणम्,7.1	अधिकरणम्,7.1	N7	दुर्बल_में	दुर्बल_में
9.1	.	9.1	.	-	-	-	-	FS	-	-
